store_id,city,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,image,image_path,sku,product_id,product_sku,quantity,availability,badges,price_sale_clean,price_original_clean
110,"Tillsonburg, ON",Certified WinterTrek - Pneu cloutable pour véhicules passagers et VUM,97.99,"97,99 $",,,97.99,"97,99 $",97.99,"97,99 $",true,https://www.canadiantire.ca/fr/pdp/certified-wintertrek-pneu-cloutable-pour-vehicules-passagers-et-vum-0031702p.html,https://media-www.canadiantire.ca/product/automotive/tires/winter-tires/0031702/-155-80r13-79t-certified-wintertrek-ca853d0f-b87b-4f1d-a1bf-09102fb3ef26-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0001-Certified WinterTrek - Pneu cloutable po.jpg,003-1702X,,003-1702X,,,Liquidation◊Mieux notés,"97,99",
110,"Tillsonburg, ON",Générateur de brouillard For Living 1000 W avec télécommande de minuterie,149.99,"149,99 $",,,149.99,"149,99 $",149.99,"149,99 $",true,https://www.canadiantire.ca/fr/pdp/generateur-de-brouillard-for-living-1000-w-avec-telecommande-de-minuterie-1519935p.html,https://media-www.canadiantire.ca/product/party-city/party-city-seasonal/halloween-harvest/1519935/fog-machine-1000-watt-with-timer-remote-controller-dc325f92-1cbc-4ea5-907e-202769eafb23-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0002-Générateur de brouillard For Living 1000.jpg,151-9935-2,,151-9935-2,,Il n’en reste que 2 #151-9935-2,Liquidation◊Exclusivité,"149,99",
110,"Tillsonburg, ON","Liquide de transmission automatique synthétique du fabricant d’origine pour véhicules multiples, véhicules nord-américaines, 946 mL",18.93,"18,93 $",22.99,"Était±  22,99 $prix était 22,99 $",18.93,"18,93 $",18.93,"18,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-transmission-automatique-synthetique-du-fabricant-d-origine-pour-vehicules-multiples-vehicules-nord-americaines-946-ml-0281548p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0281548/oem-synthetic-multi-vehicle-atf-domestic-946ml-3b43d1e4-4a54-4937-9c24-a3312fb3cbf0-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0003-Liquide de transmission automatique synt.jpg,028-1548-8,,028-1548-8,,,Liquidation◊Mieux notés,"18,93","22,99"
110,"Tillsonburg, ON","Liquide de préparation Evans, 1 gal",17.93,"17,93 $",49.99,"Était±  49,99 $prix était 49,99 $",17.93,"17,93 $",17.93,"17,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-preparation-evans-1-gal-0293102p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0293102/evans-prep-fluid-1gal-5e8adf31-ac7c-40e9-9306-c6aa92e46670-jpgrendition.jpg?im=whresize&wid=200&hei=200,"outputs/canadiantire/110-tillsonburg-on/images/0004-Liquide de préparation Evans, 1 gal.jpg",029-3102-4,,029-3102-4,,Il n’en reste que 3 #029-3102-4,Liquidation◊Mieux notés,"17,93","49,99"
110,"Tillsonburg, ON","Revêtement antidérapant DAP Tank Bond Liquid Grip pour fixations, vis et boulons, 6 mL",4.93,"4,93 $",13.99,"Était±  13,99 $prix était 13,99 $",4.93,"4,93 $",4.93,"4,93 $",true,https://www.canadiantire.ca/fr/pdp/revetement-antiderapant-dap-tank-bond-liquid-grip-pour-fixations-vis-et-boulons-6-ml-0670057p.html,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0670057/dap-tank-bond-liquid-grip-74962919-e563-41c7-a786-f07ef6736345-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0005-Revêtement antidérapant DAP Tank Bond Li.jpg,067-0057-8,,067-0057-8,,Il n’en reste que 4 #067-0057-8,Liquidation◊,"4,93","13,99"
110,"Tillsonburg, ON","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz",19.93,"19,93 $",29.99,"Était±  29,99 $prix était 29,99 $",19.93,"19,93 $",19.93,"19,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--1160382c-9005-48e6-a50c-ea4ef2e9c99d-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0006-Liquide de protection contre les inondat.jpg,064-1544-8,,064-1544-8,,22 En Stock#064-1544-8,Liquidation◊,"19,93","29,99"
110,"Tillsonburg, ON",Continental WinterContact SI Plus - Pneu d'hiver pour les véhicules de tourisme et les véhicules utilitaires multisegments,175.99,"175,99 $",,,175.99,"175,99 $",175.99,"175,99 $",true,https://www.canadiantire.ca/fr/pdp/continental-wintercontact-si-plus-pneu-d-hiver-pour-les-vehicules-de-tourisme-et-les-vehicules-utilitaires-multisegments-0052152p.html,https://media-www.canadiantire.ca/product/automotive/tires/winter-tires/0062360/-205-55r16-94h-continental-wintercontact-si-plus-51f2135a-b9c3-4d88-81e8-13609df92ecf-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0007-Continental WinterContact SI Plus - Pneu.jpg,005-2152X,,005-2152X,,,Liquidation◊Mieux notés,"175,99",
110,"Tillsonburg, ON",Pneu tout-terrain Goodyear Wrangler DuraTrac pour camions et VUS – Liquidation,324.99,"324,99 $",,,324.99,"324,99 $",324.99,"324,99 $",true,https://www.canadiantire.ca/fr/pdp/pneu-tout-terrain-goodyear-wrangler-duratrac-pour-camions-et-vus-liquidation-0052336p.html,https://media-www.canadiantire.ca/product/automotive/tires/all-terrain-tires/2022006/-275-60r20-115s-goodyear-wrangler-duratrac-150678601--fd9d5e56-9f31-4600-bfd7-d15f746aade4-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0008-Pneu tout-terrain Goodyear Wrangler Dura.jpg,005-2336X,,005-2336X,,,Liquidation◊Mieux notés,"324,99",
110,"Tillsonburg, ON","Gobelet isotherme en acier inoxydable Manna Atlas avec couvercle 2-en-1 et paille, choix de couleurs, 40 oz",12.93,"12,93 $",,,12.93,"12,93 $",12.93,"12,93 $",true,https://www.canadiantire.ca/fr/pdp/gobelet-isotherme-en-acier-inoxydable-manna-atlas-avec-couvercle-2-en-1-et-paille-choix-de-couleurs-40-oz-4991975p.html,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/4991979/manna-40oz-atlas-heavenly-haze-883aa8bd-0019-4514-b7e0-52d7ed70dcfd-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0009-Gobelet isotherme en acier inoxydable Ma.jpg,499-1975X,,499-1975X,,,Liquidation◊Mieux notés,"12,93",
110,"Tillsonburg, ON","Maison de poupée à 3 étages pour enfants, bord de mer, 25 accessoires",96.93,"96,93 $",249.99,"Était±  249,99 $prix était 249,99 $",96.93,"96,93 $",96.93,"96,93 $",true,https://www.canadiantire.ca/fr/pdp/maison-de-poupee-a-3-etages-pour-enfants-bord-de-mer-25-accessoires-1501666p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/1501666/beachside-doll-house-499b056d-aa09-4c1b-8974-7e409c58a2fc-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0010-Maison de poupée à 3 étages pour enfants.jpg,150-1666-2,,150-1666-2,,Il n’en reste que 2 #150-1666-2,Liquidation◊Mieux notés,"96,93","249,99"
110,"Tillsonburg, ON","Coffret de jeu Les musiciens de la ferme Mega Bloks pour touts petits, 40 pièces",30.93,"30,93 $",49.99,"Était±  49,99 $prix était 49,99 $",30.93,"30,93 $",30.93,"30,93 $",true,https://www.canadiantire.ca/fr/pdp/coffret-de-jeu-les-musiciens-de-la-ferme-mega-bloks-pour-touts-petits-40-pieces-1500014p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/1500014/mega-bloks-musical-farm-band-d90c3f04-9781-4795-a856-708f0f3271b6.png?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0011-Coffret de jeu Les musiciens de la ferme.png,150-0014-0,,150-0014-0,,Il n’en reste que 3 #150-0014-0,Liquidation◊Mieux notés,"30,93","49,99"
110,"Tillsonburg, ON","For Living - Auvent de rechange octogonal pour gazebo, beige, 153 x 124 x 35 po",104.93,"104,93 $",199.99,"Était±  199,99 $prix était 199,99 $",104.93,"104,93 $",104.93,"104,93 $",true,https://www.canadiantire.ca/fr/pdp/for-living-auvent-de-rechange-octogonal-pour-gazebo-beige-153-x-124-x-35-po-0881635p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0881635/for-living-canopy-for-octagon-179677f6-f9ea-4c8f-82df-4cf8841a4342-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0012-For Living - Auvent de rechange octogona.jpg,088-1635-6,,088-1635-6,,Il n’en reste que 1 #088-1635-6,Liquidation◊Exclusivité,"104,93","199,99"
110,"Tillsonburg, ON","Rehaussement de grille de ventilation d'évacuation de salle de bain à installation rapide Broan FG600C avec lumière à DEL, blanc, 10-1/4 x 9-3/4 po",39.93,"39,93 $",46.99,"Était±  46,99 $prix était 46,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/rehaussement-de-grille-de-ventilation-d-evacuation-de-salle-de-bain-a-installation-rapide-broan-fg600c-avec-lumiere-a-del-blanc-10-1-4-x-9-3-4-po-0529639p.html,https://media-www.canadiantire.ca/product/fixing/home-environment/home-air-quality-accessories/0529639/economy-upgrade-grill-fg600c-c1a409f2-fe64-42eb-8841-e1bd8c9d5c9d-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0013-Rehaussement de grille de ventilation d'.jpg,052-9639-4,,052-9639-4,,Il n’en reste que 2 #052-9639-4,Liquidation◊Mieux notés,"39,93","46,99"
110,"Tillsonburg, ON","Applique de salle de bains à 3 lampes CANVAS Abbeyglen, laiton mat",89.93,"89,93 $",149.99,"Était±  149,99 $prix était 149,99 $",89.93,"89,93 $",89.93,"89,93 $",true,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bains-a-3-lampes-canvas-abbeyglen-laiton-mat-1522634p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/1522634/canvas-abbeyglen-matte-brass-vanity-light-006b10bc-7092-4136-804a-ce9deb15f10e-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0014-Applique de salle de bains à 3 lampes CA.jpg,152-2634-8,,152-2634-8,,Il n’en reste que 1 #152-2634-8,Liquidation◊Exclusivité,"89,93","149,99"
110,"Tillsonburg, ON","Distributeur automatique de savon à piles Simplehuman, 237 mL",34.93,"34,93 $",49.99,"Était±  49,99 $prix était 49,99 $",34.93,"34,93 $",34.93,"34,93 $",true,https://www.canadiantire.ca/fr/pdp/distributeur-automatique-de-savon-a-piles-simplehuman-237-ml-0636330p.html,https://media-www.canadiantire.ca/product/living/home-decor/bed-bath-decor/0636330/simple-human-automatic-soap-dispenser-e7e07f85-20f4-4f4d-9665-8a9726b53310-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0015-Distributeur automatique de savon à pile.jpg,063-6330-8,,063-6330-8,,Il n’en reste que 2 #063-6330-8,Liquidation◊Mieux notés,"34,93","49,99"
110,"Tillsonburg, ON","Chaises de salle à manger rembourrées tête de clou avec pattes en bois massif CANVAS Regent, paq. 2, gris",,,,,,,,,true,https://www.canadiantire.ca/fr/pdp/chaises-de-salle-a-manger-rembourrees-tete-de-clou-avec-pattes-en-bois-massif-canvas-regent-paq-2-gris-1680087p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680087/canvas-regent-chair-2-pack-d7669315-d5c9-4944-9fa5-af38fa9fb225-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0016-Chaises de salle à manger rembourrées tê.jpg,168-0087-6,,168-0087-6,,,Liquidation◊Exclusivité,,
110,"Tillsonburg, ON","Applique de salle de bains à 3 lampes CANVAS Hilliard, nickel poli",,,,,,,,,true,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bains-a-3-lampes-canvas-hilliard-nickel-poli-1522633p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/1522633/canvas-hilliard-vanity-light-7d421889-0df0-46dd-92ad-b31019a97606-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/110-tillsonburg-on/images/0017-Applique de salle de bains à 3 lampes CA.jpg,152-2633-0,,152-2633-0,,,Liquidation◊Exclusivité,,
