store_id,city,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,image,image_path,sku,product_id,product_sku,quantity,availability,badges,price_sale_clean,price_original_clean
271,Laval,"Mini machine à brouillard à base d'eau Gemmy avec lumière à DEL 400 W, argenté, 12 1/4 cm, décoration d'intérieur et d'extérieur pour l'Halloween",59.99,"59,99 $",,,59.99,"59,99 $",59.99,"59,99 $",true,https://www.canadiantire.ca/fr/pdp/mini-machine-a-brouillard-a-base-d-eau-gemmy-avec-lumiere-a-del-400-w-argente-12-1-4-cm-decoration-d-interieur-et-d-exterieur-pour-l-halloween-0510171p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/halloween-harvest/0510171/mini-fogger-22045aa1-15a0-4b70-86ca-3fc859fd2d73-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/271-laval/images/0001-Mini machine à brouillard à base d'eau G.jpg,051-0171-0,,051-0171-0,,61 En Stock#051-0171-0,Liquidation◊,"59,99",
271,Laval,Certified WinterTrek - Pneu cloutable pour véhicules passagers et VUM,97.99,"97,99 $",,,97.99,"97,99 $",97.99,"97,99 $",true,https://www.canadiantire.ca/fr/pdp/certified-wintertrek-pneu-cloutable-pour-vehicules-passagers-et-vum-0031702p.html,https://media-www.canadiantire.ca/product/automotive/tires/winter-tires/0031702/-155-80r13-79t-certified-wintertrek-ca853d0f-b87b-4f1d-a1bf-09102fb3ef26-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/271-laval/images/0002-Certified WinterTrek - Pneu cloutable po.jpg,003-1702X,,003-1702X,,,Liquidation◊Mieux notés,"97,99",
271,Laval,"LEGO City, Ensemble de jeu Défi de cascade Knockdown, 60341, 5 ans et plus",39.93,"39,93 $",44.99,"Était±  44,99 $prix était 44,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/lego-city-ensemble-de-jeu-defi-de-cascade-knockdown-60341-5-ans-et-plus-0509322p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/0509322/lego-the-knockdown-stunt-challenge-1f4a0139-89cf-485c-99ff-4daf4fe66c31-jpgrendition.jpg?im=whresize&wid=200&hei=200,"outputs/canadiantire/271-laval/images/0003-LEGO City, Ensemble de jeu Défi de casca.jpg",050-9322-0,,050-9322-0,,Il n’en reste que 2 #050-9322-0,Liquidation◊Mieux notés,"39,93","44,99"
271,Laval,"Liquide de transmission automatique OEM à faible viscosité pour véhicules multiples, Euro, 946 mL",19.93,"19,93 $",23.99,"Était±  23,99 $prix était 23,99 $",19.93,"19,93 $",19.93,"19,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-transmission-automatique-oem-a-faible-viscosite-pour-vehicules-multiples-euro-946-ml-0281596p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0281596/oem-euro-atf-mv-946ml-964921f3-866a-483f-9bc3-4f6f23af7a17-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/271-laval/images/0004-Liquide de transmission automatique OEM.jpg,028-1596-2,,028-1596-2,,335 En Stock#028-1596-2,Liquidation◊Exclusivité,"19,93","23,99"
271,Laval,Pneu tout-terrain BFGoodrich All-terrain T/A KO2 pour camions et VUS - liquidation,345.99,"345,99 $",,,345.99,"345,99 $",345.99,"345,99 $",true,https://www.canadiantire.ca/fr/pdp/pneu-tout-terrain-bfgoodrich-all-terrain-t-a-ko2-pour-camions-et-vus-liquidation-0053117p.html,https://media-www.canadiantire.ca/product/automotive/tires/all-terrain-tires/2087926/-lt245-70r16113-110s-bfgoodrich-all-terrain-t-a-ko2-28855--da068151-8fab-47e5-b0ef-28dc03415096-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/271-laval/images/0005-Pneu tout-terrain BFGoodrich All-terrain.jpg,006-2086X,,006-2086X,,,Liquidation◊Articles à succès,"345,99",
271,Laval,"Détergent à lessive liquide HEX Performance, parfums variés, 32 brassées, 1,47 L",9.93,"9,93 $",17.99,"17,99 $Était   et+ prix était à partir de 17,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/detergent-a-lessive-liquide-hex-performance-parfums-varies-32-brassees-1-47-l-1531330p.html,https://media-www.canadiantire.ca/product/living/home-essentials/laundry-hand-dish-cleaning-solutions/1531330/hex-performance-laundry-detergent-fresh-1-47l-32-loads-609519ad-8f07-4cfe-9fae-5a58804420bb.png?im=whresize&wid=200&hei=200,outputs/canadiantire/271-laval/images/0006-Détergent à lessive liquide HEX Performa.png,153-1330X,,153-1330X,,,Liquidation◊Mieux notés,"9,93","17,99"
271,Laval,"Détergent à lessive liquide Tide Zero, lavande douce, 80 brassées, 3,1 L",16.93,"16,93 $",24.99,"Était±  24,99 $prix était 24,99 $",16.93,"16,93 $",16.93,"16,93 $",true,https://www.canadiantire.ca/fr/pdp/detergent-a-lessive-liquide-tide-zero-lavande-douce-80-brassees-3-1-l-1532620p.html,https://media-www.canadiantire.ca/product/living/home-essentials/laundry-hand-dish-cleaning-solutions/1532620/tide-zero-liquid-laundry-detergent-soft-lavender-80-loads-13a39a4e-a724-4c84-949e-24801f6ed373-jpgrendition.jpg?im=whresize&wid=200&hei=200,"outputs/canadiantire/271-laval/images/0007-Détergent à lessive liquide Tide Zero, l.jpg",153-2620-8,,153-2620-8,,25 En Stock#153-2620-8,Liquidation◊Mieux notés,"16,93","24,99"
271,Laval,Michelin X-Ice® Xi3 - Pneu d’hiver,76.99,"76,99 $",,,76.99,"76,99 $",76.99,"76,99 $",true,https://www.canadiantire.ca/fr/pdp/michelin-x-ice-xi3-pneu-d-hiver-0051817p.html,https://media-www.canadiantire.ca/product/automotive/tires/winter-tires/0031561/-155-80r13-79q-x-ice-9338fb44-1d45-466f-b378-9d6a97f37159-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/271-laval/images/0008-Michelin X-Ice® Xi3 - Pneu d’hiver.jpg,003-1561X,,003-1561X,,,Liquidation◊Mieux notés,"76,99",
271,Laval,"Forets pour tournevis à percussion Crescent U-GUARDMC Stack and Store alphaCASEMC, 30 pces",29.93,"29,93 $",44.99,"Était±  44,99 $prix était 44,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/forets-pour-tournevis-a-percussion-crescent-u-guard-sup-mc-sup-stack-and-store-alphacase-sup-mc-sup-30-pces-0542388p.html,https://media-www.canadiantire.ca/product/fixing/tools/power-tool-accessories/0542388/crescent-30-piece-u-guard-bit-set-c27c48a0-8611-4014-b749-835767bf7863-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/271-laval/images/0009-Forets pour tournevis à percussion Cresc.jpg,054-2388-8,,054-2388-8,,183 En Stock#054-2388-8,Liquidation◊Mieux notés,"29,93","44,99"
271,Laval,"Liquide de préparation Evans, 1 gal",5.93,"5,93 $",49.99,"Était±  49,99 $prix était 49,99 $",5.93,"5,93 $",5.93,"5,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-preparation-evans-1-gal-0293102p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0293102/evans-prep-fluid-1gal-5e8adf31-ac7c-40e9-9306-c6aa92e46670-jpgrendition.jpg?im=whresize&wid=200&hei=200,"outputs/canadiantire/271-laval/images/0010-Liquide de préparation Evans, 1 gal.jpg",029-3102-4,,029-3102-4,,78 En Stock#029-3102-4,Liquidation◊Mieux notés,"5,93","49,99"
