store_id,city,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,image,image_path,sku,product_id,product_sku,quantity,availability,badges,price_sale_clean,price_original_clean
418,St-Eustache,"Liquide pour machine à fumée, 0,95 L, non toxique et à base d'eau, décoration d'intérieur/d'extérieur pour l'Halloween",12.99,"12,99 $",,,12.99,"12,99 $",12.99,"12,99 $",true,https://www.canadiantire.ca/fr/pdp/liquide-pour-machine-a-fumee-0-95-l-non-toxique-et-a-base-d-eau-decoration-d-interieur-d-exterieur-pour-l-halloween-8513181p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/party-city-seasonal/party-city-halloween-harvest/8513181/quart-fog-liquid-aa432c3b-dc14-4152-968e-e4818a28dd1b-jpgrendition.jpg?im=whresize&wid=200&hei=200,"outputs/canadiantire/418-st-eustache/images/0001-Liquide pour machine à fumée, 0,95 L, no.jpg",851-3181-4,,851-3181-4,,Il n’en reste que 1 #851-3181-4,Liquidation◊Exclusivité,"12,99",
418,St-Eustache,Certified WinterTrek - Pneu cloutable pour véhicules passagers et VUM,97.99,"97,99 $",,,97.99,"97,99 $",97.99,"97,99 $",true,https://www.canadiantire.ca/fr/pdp/certified-wintertrek-pneu-cloutable-pour-vehicules-passagers-et-vum-0031702p.html,https://media-www.canadiantire.ca/product/automotive/tires/winter-tires/0031702/-155-80r13-79t-certified-wintertrek-ca853d0f-b87b-4f1d-a1bf-09102fb3ef26-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/418-st-eustache/images/0002-Certified WinterTrek - Pneu cloutable po.jpg,003-1702X,,003-1702X,,,Liquidation◊Mieux notés,"97,99",
418,St-Eustache,"Liquide de transmission automatique synthétique du fabricant d’origine, véhicules multiples, véhicules asiatiques, 946 mL",17.93,"17,93 $",20.99,"Était±  20,99 $prix était 20,99 $",17.93,"17,93 $",17.93,"17,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-transmission-automatique-synthetique-du-fabricant-d-origine-vehicules-multiples-vehicules-asiatiques-946-ml-0281541p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0281541/oem-synthetic-multi-vehicle-atf-asian-946ml-207f4f6e-564e-4238-8ddb-0b15504f5652-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/418-st-eustache/images/0003-Liquide de transmission automatique synt.jpg,028-1541-2,,028-1541-2,,Il n’en reste que 1 #028-1541-2,Liquidation◊Mieux notés,"17,93","20,99"
418,St-Eustache,Pneu tout-terrain BFGoodrich All-terrain T/A KO2 pour camions et VUS - liquidation,345.99,"345,99 $",,,345.99,"345,99 $",345.99,"345,99 $",true,https://www.canadiantire.ca/fr/pdp/pneu-tout-terrain-bfgoodrich-all-terrain-t-a-ko2-pour-camions-et-vus-liquidation-0053117p.html,https://media-www.canadiantire.ca/product/automotive/tires/all-terrain-tires/2087926/-lt245-70r16113-110s-bfgoodrich-all-terrain-t-a-ko2-28855--da068151-8fab-47e5-b0ef-28dc03415096-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/418-st-eustache/images/0004-Pneu tout-terrain BFGoodrich All-terrain.jpg,006-2086X,,006-2086X,,,Liquidation◊Articles à succès,"345,99",
418,St-Eustache,Michelin X-Ice® Xi3 - Pneu d’hiver,76.99,"76,99 $",,,76.99,"76,99 $",76.99,"76,99 $",true,https://www.canadiantire.ca/fr/pdp/michelin-x-ice-xi3-pneu-d-hiver-0051817p.html,https://media-www.canadiantire.ca/product/automotive/tires/winter-tires/0031561/-155-80r13-79q-x-ice-9338fb44-1d45-466f-b378-9d6a97f37159-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/418-st-eustache/images/0005-Michelin X-Ice® Xi3 - Pneu d’hiver.jpg,003-1561X,,003-1561X,,,Liquidation◊Mieux notés,"76,99",
418,St-Eustache,"Forets pour tournevis à percussion Crescent U-GUARDMC Stack and Store alphaCASEMC, 30 pces",29.93,"29,93 $",44.99,"Était±  44,99 $prix était 44,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/forets-pour-tournevis-a-percussion-crescent-u-guard-sup-mc-sup-stack-and-store-alphacase-sup-mc-sup-30-pces-0542388p.html,https://media-www.canadiantire.ca/product/fixing/tools/power-tool-accessories/0542388/crescent-30-piece-u-guard-bit-set-c27c48a0-8611-4014-b749-835767bf7863-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/418-st-eustache/images/0006-Forets pour tournevis à percussion Cresc.jpg,054-2388-8,,054-2388-8,,Il n’en reste que 4 #054-2388-8,Liquidation◊Mieux notés,"29,93","44,99"
418,St-Eustache,"Liquide de préparation Evans, 1 gal",17.93,"17,93 $",49.99,"Était±  49,99 $prix était 49,99 $",17.93,"17,93 $",17.93,"17,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-preparation-evans-1-gal-0293102p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0293102/evans-prep-fluid-1gal-5e8adf31-ac7c-40e9-9306-c6aa92e46670-jpgrendition.jpg?im=whresize&wid=200&hei=200,"outputs/canadiantire/418-st-eustache/images/0007-Liquide de préparation Evans, 1 gal.jpg",029-3102-4,,029-3102-4,,Il n’en reste que 2 #029-3102-4,Liquidation◊Mieux notés,"17,93","49,99"
418,St-Eustache,"Capsule ZURU 5 Surprise Mini Brands Disney Store série 2, choix varié",8.93,"8,93 $",14.99,"Était±  14,99 $prix était 14,99 $",8.93,"8,93 $",8.93,"8,93 $",true,https://www.canadiantire.ca/fr/pdp/capsule-zuru-5-surprise-mini-brands-disney-store-serie-2-choix-varie-1500358p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/1500358/disney-store-mini-brands-series-2-assorted-9d5fa784-5757-4de0-8f51-1f92a64dce4d-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/418-st-eustache/images/0008-Capsule ZURU 5 Surprise Mini Brands Disn.jpg,150-0358-2,,150-0358-2,,,Liquidation◊,"8,93","14,99"
418,St-Eustache,"Sacs pour appareil d'emballage sous vide thermoscelleur FoodSaver Liquid Block, sans BPA, 950 mL, paq. 12",8.93,"8,93 $",13.99,"Était±  13,99 $prix était 13,99 $",8.93,"8,93 $",8.93,"8,93 $",true,https://www.canadiantire.ca/fr/pdp/sacs-pour-appareil-d-emballage-sous-vide-thermoscelleur-foodsaver-liquid-block-sans-bpa-950-ml-paq-12-0432775p.html,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/0432775/food-saver-marinating-bags-12-pack-4a5ce458-28ae-4e63-9174-4762f647ad4f-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/418-st-eustache/images/0009-Sacs pour appareil d'emballage sous vide.jpg,043-2775-2,,043-2775-2,,,Liquidation◊Mieux notés,"8,93","13,99"
418,St-Eustache,Plasti Dip Liquid,26.99,"26,99 $",,,26.99,"26,99 $",26.99,"26,99 $",true,https://www.canadiantire.ca/fr/pdp/plasti-dip-liquid-0482236p.html,https://media-www.canadiantire.ca/product/fixing/paint/paints/0482236/plasti-dip-liquid-red-14-5-oz--a24e1259-437b-4031-b173-8ae8015ba1d5.png?im=whresize&wid=200&hei=200,outputs/canadiantire/418-st-eustache/images/0010-Plasti Dip Liquid.png,048-2236X,,048-2236X,,,Liquidation◊Mieux notés,"26,99",
