store_id,city,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,image,image_path,sku,product_id,product_sku,quantity,availability,badges,price_sale_clean,price_original_clean
98,"Smiths Falls, ON",Certified WinterTrek - Pneu cloutable pour véhicules passagers et VUM,97.99,"97,99 $",,,97.99,"97,99 $",97.99,"97,99 $",true,https://www.canadiantire.ca/fr/pdp/certified-wintertrek-pneu-cloutable-pour-vehicules-passagers-et-vum-0031702p.html,https://media-www.canadiantire.ca/product/automotive/tires/winter-tires/0031702/-155-80r13-79t-certified-wintertrek-ca853d0f-b87b-4f1d-a1bf-09102fb3ef26-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/98-smiths-falls-on/images/0001-Certified WinterTrek - Pneu cloutable po.jpg,003-1702X,,003-1702X,,,Liquidation◊Mieux notés,"97,99",
98,"Smiths Falls, ON","Liquide de transmission automatique OEM à faible viscosité pour véhicules multiples, Euro, 946 mL",19.93,"19,93 $",23.99,"Était±  23,99 $prix était 23,99 $",19.93,"19,93 $",19.93,"19,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-transmission-automatique-oem-a-faible-viscosite-pour-vehicules-multiples-euro-946-ml-0281596p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0281596/oem-euro-atf-mv-946ml-964921f3-866a-483f-9bc3-4f6f23af7a17-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/98-smiths-falls-on/images/0002-Liquide de transmission automatique OEM.jpg,028-1596-2,,028-1596-2,,Il n’en reste que 1 #028-1596-2,Liquidation◊Exclusivité,"19,93","23,99"
98,"Smiths Falls, ON","Liquide de transmission automatique synthétique du fabricant d’origine à faible viscosité pour véhicules multiples, véhicules asiatiques, 946 mL",17.93,"17,93 $",20.99,"Était±  20,99 $prix était 20,99 $",17.93,"17,93 $",17.93,"17,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-transmission-automatique-synthetique-du-fabricant-d-origine-a-faible-viscosite-pour-vehicules-multiples-vehicules-asiatiques-946-ml-0281542p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0281542/oem-synthetic-low-viscosity-multi-vehicle-atf-asian-946ml-741fb9a4-7990-46d4-9c1e-91184f0437bd-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/98-smiths-falls-on/images/0003-Liquide de transmission automatique synt.jpg,028-1542-0,,028-1542-0,,Il n’en reste que 1 #028-1542-0,Liquidation◊Mieux notés,"17,93","20,99"
98,"Smiths Falls, ON",Michelin X-Ice® Xi3 - Pneu d’hiver,76.99,"76,99 $",,,76.99,"76,99 $",76.99,"76,99 $",true,https://www.canadiantire.ca/fr/pdp/michelin-x-ice-xi3-pneu-d-hiver-0051817p.html,https://media-www.canadiantire.ca/product/automotive/tires/winter-tires/0031561/-155-80r13-79q-x-ice-9338fb44-1d45-466f-b378-9d6a97f37159-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/98-smiths-falls-on/images/0004-Michelin X-Ice® Xi3 - Pneu d’hiver.jpg,003-1561X,,003-1561X,,,Liquidation◊Mieux notés,"76,99",
98,"Smiths Falls, ON","Forets pour tournevis à percussion Crescent U-GUARDMC Stack and Store alphaCASEMC, 30 pces",29.93,"29,93 $",44.99,"Était±  44,99 $prix était 44,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/forets-pour-tournevis-a-percussion-crescent-u-guard-sup-mc-sup-stack-and-store-alphacase-sup-mc-sup-30-pces-0542388p.html,https://media-www.canadiantire.ca/product/fixing/tools/power-tool-accessories/0542388/crescent-30-piece-u-guard-bit-set-c27c48a0-8611-4014-b749-835767bf7863-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/98-smiths-falls-on/images/0005-Forets pour tournevis à percussion Cresc.jpg,054-2388-8,,054-2388-8,,Il n’en reste que 1 #054-2388-8,Liquidation◊Mieux notés,"29,93","44,99"
98,"Smiths Falls, ON","Étui à crayons en mailles Five Star Stand & Store, choix de couleurs",1,"1,00 $",6.99,"Était±  6,99 $prix était 6,99 $",1,"1,00 $",1,"1,00 $",true,https://www.canadiantire.ca/fr/pdp/etui-a-crayons-en-mailles-five-star-stand-store-choix-de-couleurs-1429347p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/home-office-supplies/1429347/five-star-stand-and-store-pouch-b4f30dbe-601c-48ed-ac23-d7ab9ef4bdec-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/98-smiths-falls-on/images/0006-Étui à crayons en mailles Five Star Stan.jpg,142-9347-4,,142-9347-4,,12 En Stock#142-9347-4,Liquidation◊Mieux notés,"1,00","6,99"
98,"Smiths Falls, ON","Liquide de préparation Evans, 1 gal",17.93,"17,93 $",49.99,"Était±  49,99 $prix était 49,99 $",17.93,"17,93 $",17.93,"17,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-preparation-evans-1-gal-0293102p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0293102/evans-prep-fluid-1gal-5e8adf31-ac7c-40e9-9306-c6aa92e46670-jpgrendition.jpg?im=whresize&wid=200&hei=200,"outputs/canadiantire/98-smiths-falls-on/images/0007-Liquide de préparation Evans, 1 gal.jpg",029-3102-4,,029-3102-4,,Il n’en reste que 4 #029-3102-4,Liquidation◊Mieux notés,"17,93","49,99"
98,"Smiths Falls, ON",Pneu d'hiver à crampons General Altimax Arctic 12 pour véhicules de tourisme et véhicules utilitaires multisegments,113.99,"113,99 $",151.99,"151,99 $chaque  et+ prix était à partir de 151,99 $",113.99,"113,99 $",113.99,"113,99 $",true,https://www.canadiantire.ca/fr/pdp/pneu-d-hiver-a-crampons-general-altimax-arctic-12-pour-vehicules-de-tourisme-et-vehicules-utilitaires-multisegments-4082446p.html,https://media-www.canadiantire.ca/product/automotive/tires/winter-tires/0051043/-175-65r15-88t-general-altimax-arctic-12-15503110000--b94a4ae5-0899-4e3a-b2b6-358d97ca23cc-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/98-smiths-falls-on/images/0008-Pneu d'hiver à crampons General Altimax.jpg,005-1043X,,005-1043X,,,Liquidation◊Remise postale,"113,99","151,99"
98,"Smiths Falls, ON","Cartouche d'adhésif de recharge Bondic pour plastique liquide de soudage tout usage, 4 g",9.93,"9,93 $",14.99,"Était±  14,99 $prix était 14,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/cartouche-d-adhesif-de-recharge-bondic-pour-plastique-liquide-de-soudage-tout-usage-4-g-0671447p.html,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0671447/bondic-refill-cartridge-4-grams-7e86f4fd-9bbb-4c63-9301-dcf2c11d9a53-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/98-smiths-falls-on/images/0009-Cartouche d'adhésif de recharge Bondic p.jpg,067-1447-4,,067-1447-4,,Il n’en reste que 4 #067-1447-4,Liquidation◊Mieux notés,"9,93","14,99"
98,"Smiths Falls, ON",Nécessaire de réparation de pompe Coleman pour lanternes et réchauds de camping à carburant liquide,14.93,"14,93 $",22.99,"Était±  22,99 $prix était 22,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/necessaire-de-reparation-de-pompe-coleman-pour-lanternes-et-rechauds-de-camping-a-carburant-liquide-0762336p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-living/0762336/coleman-assembly-pump-fee9fed7-af69-4ecf-a5e2-e19e3a5f008f-jpgrendition.jpg?im=whresize&wid=200&hei=200,outputs/canadiantire/98-smiths-falls-on/images/0010-Nécessaire de réparation de pompe Colema.jpg,076-2336-0,,076-2336-0,,Il n’en reste que 2 #076-2336-0,Liquidation◊Mieux notés,"14,93","22,99"
